id,scientificName,commonName,classification,etymology,environment,depthRange,usualRange,distributionRangeName,distributionRangeCoordinates,distributionDescription,sizeRange,maxLength,commonLength,maxWeight,maxAge,biologyInfo,lifeAndMateInfo,redListStatus,dorsalSpines,dorsalSoftRays,analSpines,analSoftRays,vertebrae,shortDescription,threatToHumans,preferredTemperatureMin,preferredTemperatureMean,preferredTemperatureMax,cellsBasedOn,phylogeneticDiversity,bayesianLengthWeightA,bayesianLengthWeightB,resilience,priorR,vulnerability,priceCategory,source
1157,Reptadeonella violacea,,Gymnolaemata > Cheilostomata > Adeonidae,,Sessile,2--73,,Subtropical,,"Eastern Central Pacific and the Mediterranean:  Costa Rica, Greece and Croatia.",?--?,,,,,"Maximum depth from Ref. 116066. Epibenthic, encrusting . Members of the phylum Bryozoa are hermaphroditic.  Both fertilization and egg brooding may either be internal or external .",Members of the phylum Bryozoa are hermaphroditic.  Both fertilization and egg brooding may either be internal or external.,Not Evaluated,,,,,,,,8.9,12.5,21,220,,,,,,,Unknown,ca
1158,Rhinoclavis kochi,Koch's cerith,Gastropoda > Neotaenioglossa > Cerithiidae,,Benthic,0--62,,Tropical,,Indo-West Pacific and the Mediterranean.,?--?,4,,,,Length based on occurrence data; to be replaced with better reference. Members of the family Cerithiidae are herbivore-deposit feeders . Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults .,Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults.,Not Evaluated,,,,,,,,17.9,27.1,28.9,702,,,,,,Low vulnerability (10 of 100),,ca
1159,Rhinoptera marginata,Lusitanian cownose ray,Elasmobranchii (sharks and rays) >  Myliobatiformes  (Stingrays) >  Myliobatidae  (Eagle and manta rays) > Rhinopterinae,"Rhinoptera: Greek, rhinos = nose + Greek,pteron = fin, wing .",,,,,,"Eastern Atlantic:  southern Spain to Senegal, including the Mediterranean.",?--?,200,,,,"Found in tropical to warm temperate coastal waters, but absent from islands of western Pacific.  Often forming large groups swimming near the surface and quite destructive of commercial oyster and clam beds.  Feeds on bottom-living mollusks, crustaceans and fishes.  Seldom marketed.  Ovoviviparous, gestation period up to one year with 2-6 embryos produced.","Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures.",Near Threatened (NT) ; Date assessed:  20 July 2006,,,,,,,Harmless,17.1,19.7,21.7,136,0.5039,,,"Very Low, minimum population doubling time more than 14 years (Fec=2).",,Moderate to high vulnerability (45 of 100) .,Medium,de
1160,Rhodine gracilior,,Polychaeta > Not assigned > Maldanidae,,Sessile,10--888,,Tropical,,"Western Indian Ocean, Northern Atlantic,  Arctic and the Mediterranean Sea:  Canada and Russia.",?--?,,,,,"Maximum depth from Ref. 107271. Found in mixed and muddy bottoms .  In general, maldanids are non-selective deposit feeders, ingesting sediments . Members of the class Polychaeta are mostly gonochoric (sexual).  Mating:  Females produce a pheromone attracting and signalling the males to shed sperm which in turn stimulates females to shed eggs, this behavior is known as swarming.  Gametes are spawned through the metanephridia or body wall rupturing (termed as ""epitoky"", wherein a pelagic, reproductive individual, ""epitoke"", is formed from a benthic, nonreproductive individual, ""atoke"").  After fertilization, most eggs become planktonic; although some are retained in the worm tubes or burrowed in jelly masses attached to the tubes (egg brooders).  Life Cycle:  Eggs develop into trocophore larva, which later metamorph into juvenile stage (body lengthened), and later develop into adults .","Members of the class Polychaeta are mostly gonochoric (sexual).  Mating:  Females produce a pheromone attracting and signalling the males to shed sperm which in turn stimulates females to shed eggs, this behavior is known as swarming.  Gametes are spawned through the metanephridia or body wall rupturing (termed as ""epitoky"", wherein a pelagic, reproductive individual, ""epitoke"", is formed from a benthic, nonreproductive individual, ""atoke"").  After fertilization, most eggs become planktonic; although some are retained in the worm tubes or burrowed in jelly masses attached to the tubes (egg brooders).  Life Cycle:  Eggs develop into trocophore larva, which later metamorph into juvenile stage (body lengthened), and later develop into adults.",Not Evaluated,,,,,,,,0.6,4.8,10.7,1143,,,,,,,Unknown,ca
1161,Rhodosoma turcicum,,Ascidiacea > Enterogona > Corellidae,,Sessile,37--174,,Tropical,,"Indo-Pacific, Atlantic Ocean and the Mediterranean.  Tropical and subtropical.",?--?,4,,,,"Identified as a possible Lessepsian migrant, present at least in Red Sea and eastern Mediterranean .  Minimum depth from Ref. 116065. Found in shallow waters (Ref. 415 and 1134); mangrove areas particularly Rhizophora roots, piers and pilings . Members of the class Ascidiacea are hermaphroditic; both cross- and self-fertilization is typical.  Life cycle:  Eggs develop into lecithotrophic larva before metamorphosing into benthic adults .",Members of the class Ascidiacea are hermaphroditic; both cross- and self-fertilization is typical.  Life cycle:  Eggs develop into lecithotrophic larva before metamorphosing into benthic adults.,Not Evaluated,,,,,,,,12.8,18,21.2,44,,,,,,,Unknown,ca
1162,Rocinela dumerilii,,Malacostraca > Isopoda > Aegidae,,Demersal,60--500,,Subtropical,,Mediterranean Sea:  Algeria and Turkey.,?--?,,,,,"Members of the order Isopoda are mostly gonochoric.  Mating behavior:  Mating usually occurs before and sometimes during the parturial molt.  Sperm transfer is indirect.  Life cycle:  Eggs are brooded in the marsupium, which later hatch into manca postlarva before developing into adults .","Members of the order Isopoda are mostly gonochoric.  Mating behavior:  Mating usually occurs before and sometimes during the parturial molt.  Sperm transfer is indirect.  Life cycle:  Eggs are brooded in the marsupium, which later hatch into manca postlarva before developing into adults.",Not Evaluated,,,,,,,,13.3,14.6,15.8,63,,,,,,,Unknown,ca
1163,Rondeletiola minor,lentil bobtail squid,Cephalopoda > Sepiolida > Sepiolidae,,"Benthic, brackish",76--496,,Subtropical,"45N--  30S, 18W--  36E",Eastern Atlantic and the Mediterranean:  from Spain to Namibia.,?--?,2.3,,,,"Inhabits muddy bottoms; a sublittoral, demersal, or upper bathyal species found in depths between 76 and 496 m.  Found in the brackish waters of the Sea of Marmara (salinity between 18 and 25 ppt).  Species in the eastern and western Mediterranean (Aegean Sea) likely have an extended spawning period since mature animals are found throughout the year.  May ascend to the surface during the spawning period and has been collected at the surface at night using artificial light.  Caught throughout its range and consumed locally .  Feeds mainly on crustaceans and fish . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Data deficient (DD),,,,,,,,10.9,14.1,15.8,159,,,,,,Low vulnerability (10 of 100),Unknown,ca
1164,Rosacea cymbiformis,,Hydrozoa > Siphonophorae > Prayidae,,Pelagic,0--675,,Subtropical,,"Pacific Ocean, Atlantic Ocean and the Mediterranean.  Tropical and subtropical.",?--?,1.8,,,,Epiplanktonic .  It is found in the water column . Species listed only in medusoid stage .,"Species listed only in medusoid stage (Ref. 1663, p. 30).",Not Evaluated,,,,,,,,4.9,8,20.6,1194,,,,,,Low vulnerability (10 of 100),Unknown,ca
1165,Rosacea plicata,,Hydrozoa > Siphonophorae > Prayidae,,,,,,,Southwest Atlantic and the Mediterranean:  Brazil.,?--?,,,,,Members of the order Siphonophorae include A-form hydroids.  Life cycle:  The zygote develops into planula inside the gonophore and is later released as an actinula which metamorphoses into polyp stage .,Members of the order Siphonophorae include A-form hydroids.  Life cycle:  The zygote develops into planula inside the gonophore and is later released as an actinula which metamorphoses into polyp stage.,Not Evaluated,,,,,,,,0.7,8.9,14.1,159,,,,,,,Unknown,ca
1166,Rossia macrosoma,stout bobtail,Cephalopoda > Sepiolida > Sepiolidae,,Benthic,32--899,200--400,Temperate,"70N--  13N, 33W--  36E",Eastern Atlantic and the Mediterranean: From East Greenland and Iceland to the Mediterranean and northwest Africa.  Temperate to polar.,?--?,8.5,,,,"Common mantle length:  2.0 to 6.0 cm .  Common mantle length ranges between 2 and 6 cm . Hyperbenthic .  Found over sandy-muddy areas offshore from 32 to 899 m depth.  In the western Mediterranean, observed to prefer deeper waters in winter and in shallower coastal waters during spawning and throughout the rest of the year. Polytelic. Spawning takes place throughout the year, peaking in spring and autumn.  Mating behavior involves the male grasping the female's 'neck' region followed by the insertion of its hectocotylus into the female's mantle cavity.  Eggs are laid in small clusters of 30 to 40, covered with a hard, violet-red coat; commonly found on bivalve shells of Pinna sp.  Or on other solid substrates.  Eggs hatch after 45 days in water temperature of about 16C.  Females mature at 8 to 11 months and are larger than males that mature at 7 to 8 months.  Longevity is approximately 12 months.  Of minor commercial importance, mostly as bycatch in bottom trawls, although generally never abundant.  Among countries in the Mediterranean, it is variedly valued for its tasty meat and sold fresh or frozen in fish markets . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Data deficient (DD),,,,,,,,6.1,9.5,14.4,266,,,,,,Low vulnerability (10 of 100),Unknown,ca
1167,Rostroraja alba,White skate,Elasmobranchii (sharks and rays) >  Rajiformes  (Skates and rays) >  Rajidae  (Skates) > Rajinae,"Rostroraja: Latin, rostrum = beak + Latin, raja, -ae = a sting ray .","Marine, demersal",30--600,50--500,Subtropical,"56N--  37S, 19W--  23E","Eastern Atlantic:  Ireland and England southward round the Cape (South Africa) to central Mozambique , including western Mediterranean (to Tunisia and western Greece).",?--?,230,,,,"Inhabit shelf and slope waters.  Found on sand and rock-sand bottom.  A bottom-predator of bony fishes, other elasmobranchs, fish offal, crabs, shrimps, mysids, octopi, and cuttlefish.  Minimum depth reported taken from Ref. 4426.  Maximum length for female is 202 cm.  Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother.  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats.  Egg capsules are 12.5-18.3 cm long and 10.0-13.9 cm wide.  About 55-156 eggs are produced per individual annually.","Oviparous, paired eggs are laid.  Embryos feed solely on yolk.  Eggs are laid in huge cases and take up to 18 months to hatch.  Distinct pairing with embrace. Young may tend to follow large objects, such as their mother.",Endangered (EN) (A2cd+4cd); Date assessed:  31 January 2006,,,,,,"A giant skate with a broad-based, abruptly narrow-tipped snout covered with small, sharp thorns; pectoral disc angular, and no thorns on nape or back, but three rows of large thorns on tail  Larger immature and adult individuals grey with numerous small white spots above, underside white with no black pores; hatchlings plain reddish-brown above, often with blue spots, and white below with broad dusky grey margins on disc.",Traumatogenic (Ref.  5578 ),8.8,13.5,17.5,474,1,0.00309,3.19,"Low, minimum population doubling time 4.5 - 14 years (Fec=55).",,Very high vulnerability (84 of 100) .,Medium,de
1168,Royella sinon,,Gastropoda > Neotaenioglossa > Potamididae,,Benthic,0--20,,Tropical,,Indo-Pacific and the Mediterranean.,?--?,,,,,Dead shells found on the beaches . Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults .,Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults.,Not Evaluated,,,,,,,Harmless,19.2,27.2,29.3,1762,,,,,,,,ca
1169,Ruditapes decussatus,grooved carpet shell,Bivalvia > Veneroida > Veneridae,,"Benthic, brackish",0--1,,"Tropical, preferred 15C ","61N--  13N, 18W--  36E","Eastern Atlantic and Mediterranean:  from Norway to United Kingdom, France, Spain, Portugal, Morocco, Mauritania, and Senegal, including  the Mediterranean, from Spain, France, Monaco, Italy, Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, Albania, Greece, Turkey, Cyprus, Syria, Lebanon, Israel Egypt, Libya, Tunisia, and Algeria. Introduced in Azores Islands. Temperate to tropical.",?--?,6,6,,,"Found in sheltered bays, estuaries and lagoons .  Tends to bury itself in sand, muddy gravel, clay  or silty mud  and is found on the lower shore and shallow sublittoral .  Feeds on phytoplankton and detritus . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,9.4,18.1,21.1,876,,,,,,Low to moderate vulnerability (30 of 100),High,ca
1170,Ruvettus pretiosus,Oilfish,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Gempylidae  (Snake mackerels),,"Marine, benthopelagic, oceanodromous ",100--800,200--400,Subtropical,"55N--  43S, 180W--  180E",Circumtropical and temperate seas of the world.,?--?,300,150,63.5,,"Usually over the continental shelf, sometimes in oceanic waters down to 800 m.  Usually solitary or in pairs near the bottom.  Migrates far offshore.  Pelagic.  Feeds on fish, crustaceans and squid.  The peculiar wooden 'palu' or  Ruvettus  hook is used to catch this species in south central Pacific.  The flesh is very oily, with purgative properties, if eaten much.  Marketed fresh and as fish cakes in Japan; also processed into fishmeal.  Maximum length reported to reach up to 2 m only (Heemstra, pers. comm. 03/03).",,Least Concern (LC) ; Date assessed:  22 August 2012,13--15,15--18,0,15--18,32," Skin very rough, scales interspersed with spinous bony tubercles  Mid-ventral (abdominal) keel on the ventral contour  Body is uniformly brown to dark brown, tips of the pectoral and pelvic fins black, margins of the second dorsal and anal fins white in young specimens.",Poisonous to eat (Ref.  4690 ),8.6,12.9,19,603,1,0.00417,3.1,"Low, minimum population doubling time 4.5 - 14 years (Assuming tm>4).",0.28,Very high vulnerability (85 of 100) .,Medium,de
1171,Salaria basilisca,,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Blenniidae  (Combtooth blennies) > Salariinae,"Salaria: Latin, salar, salaris = trout .","Marine, demersal",2--15,,Subtropical,"47N--  30N, 6W--  28E","Mediterranean Sea:  Adriatic Sea, Tunisia , and Turkey.",?--?,18,,,,"Adults occur among seagrass, sometimes on rocky bottoms.  Eggs produced by several females are guarded by male.  Individuals are first females then change to males.  Oviparous.  Eggs are demersal and adhesive, and are attached to the substrate via a filamentous, adhesive pad or pedestal.  Larvae are planktonic, often found in shallow, coastal waters.","Oviparous, distinct pairing.",Least Concern (LC) ; Date assessed:  11 March 2014,,,,,,,Harmless,17.4,18.8,19.7,303,0.5312,0.00955,3.01,"Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).",,Low to moderate vulnerability (28 of 100) .,,de
1172,Salaria pavo,Peacock blenny,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Blenniidae  (Combtooth blennies) > Salariinae,"Salaria: Latin, salar, salaris = trout .",,,,,,Eastern Atlantic:  Atlantic coast from France to Morocco; also in the Mediterranean and Black seas and in the Suez Canal.,?--?,13,,,,"Adults occur in the intertidal zone and shallow bottoms, on rocks or sand between pebbles and vegetation.  Often in brackish waters down to 5 ppt.  Inhabit crevices or piddock holes, males remain in cavities above water-level during low tide.  Feed on benthic invertebrates, mainly mollusks, also algae.  Also ingest large amounts of aquatic insects and pupae.  Oviparous.  Mature males adopt a passive role during courtship, rarely court females, do not defend nest territory, but provide parental care to eggs.  Sneaker males assume a female-like behavior in order to approach the nests of nesting males and parasitically fertilize the eggs.  Eggs are demersal and adhesive.  Has been reared in captivity.","Males court by nodding and undulating movements and drive females to spawning place by biting and butting though this event is rarely done by the males, more or less adopting a passive role in the courtship (Ref  94113 ).  Additionally, males don't defend a territory around the nest though they guard eggs from several females .",Least Concern (LC) ; Date assessed:  14 November 2007,,,,,,Mature males with well-developed head-crest and anal gland in the first two anal-fin rays  Sneaker males much smaller than nesting males and do not display male secondary sexual characters.,Harmless,15,18.8,21.2,615,0.5312,0.00977,3,"High, minimum population doubling time less than 15 months (K=0.50).",,Low to moderate vulnerability (25 of 100) .,Unknown,de
1173,Salmacina dysteri,,Polychaeta > Sabellida > Serpulidae,,,,,,,Circumglobal in warm seas.,,,,,,"A suspension feeder common on hard substrates or overgrowing other fouling invertebrates in sheltered waters like harbors and embayments or also in shallow and deep reef habitats . Members of the class Polychaeta are mostly gonochoric (sexual).  Mating:  Females produce a pheromone attracting and signalling the males to shed sperm which in turn stimulates females to shed eggs, this behavior is known as swarming.  Gametes are spawned through the metanephridia or body wall rupturing (termed as ""epitoky"", wherein a pelagic, reproductive individual, ""epitoke"", is formed from a benthic, nonreproductive individual, ""atoke"").  After fertilization, most eggs become planktonic; although some are retained in the worm tubes or burrowed in jelly masses attached to the tubes (egg brooders).  Life Cycle:  Eggs develop into trocophore larva, which later metamorph into juvenile stage (body lengthened), and later develop into adults .","Members of the class Polychaeta are mostly gonochoric (sexual).  Mating:  Females produce a pheromone attracting and signalling the males to shed sperm which in turn stimulates females to shed eggs, this behavior is known as swarming.  Gametes are spawned through the metanephridia or body wall rupturing (termed as ""epitoky"", wherein a pelagic, reproductive individual, ""epitoke"", is formed from a benthic, nonreproductive individual, ""atoke"").  After fertilization, most eggs become planktonic; although some are retained in the worm tubes or burrowed in jelly masses attached to the tubes (egg brooders).  Life Cycle:  Eggs develop into trocophore larva, which later metamorph into juvenile stage (body lengthened), and later develop into adults.",Not Evaluated,,,,,,"Very slender white tubes, 15 mm long and 05mm wide  The branchial crown is composed of 8 radioles, 4 on each side Operculum is absent  7 to 9 thoracic segment.",,9.7,12.4,21.4,297,,,,,,Low vulnerability (10 of 100),Unknown,ca
1174,Salmo salar Linnaeus  1758,Atlantic salmon,Actinopterygii (ray-finned fishes) >  Salmoniformes  (Salmons) >  Salmonidae  (Salmonids) > Salmoninae,"Salmo: Latin, salmo, Plinius = salmon ;salar: From the Latin 'salio' meaning to leap .More on author: Linnaeus.","Marine, freshwater, brackish, benthopelagic, anadromous ",0--210,10--23,Temperate,"72N--  40N, 80W--  61E","North Atlantic Ocean:  temperate and arctic zones in northern hemisphere .Western Atlantic:  Atlantic drainages from northern Quebec, Canada, to Connecticut and New York, USA; inland to Lake Ontario where it is now extirpated  . Landlocked stocks are present in North America . Eastern Atlantic:  White and Barents Sea basins through northeastern Europe to the Baltic and North Sea basins, including Iceland . Introduced to New Zealand, Chile, southern Argentina  and Australia .Listed in Appendix III of the Bern Convention (2002) (freshwater only).Listed in Annex II (freshwater only; excluding Finnish population) and V (freshwater only) of the EC Habitats Directive (2007).",?--?,150,38,46.8,13,"Amphihaline species, spending most of its life in freshwater. Occurs in lakes and rocky runs and pools of small to large rivers.  Some landlocked populations exist. Found in all rivers where temperature rises above 10 C for about 3 months per year and does not exceed 20 C for more than a few weeks in summer (preferred temperatures 4-12C). Juveniles may live in cold lakes in northern Europe. Parr (i.e. juveniles) are territorial and are found in the upper reaches of rivers and streams, in riffle areas with strong current and rough gravel bottoms. During winter, parr seek refuge in small spaces or under stones during the day (Refs.  59043 , 89461). Young remain in freshwater for 1 to 6 years, then migrate to coastal marine waters or even to open oceans where they remain for 1 to 4 years before returning to freshwater  for spawning. Adults inhabit cooler waters with strong to moderate flow. The Atlantic salmon is reported to live up to 10 years, but most individuals only reach 4-6 years. Juveniles feed mainly on aquatic insects, mollusks, crustaceans and fish; adults at sea feed on squids, shrimps, and fish. Most populations depend mostly or exclusively on stocking due to degradations of environmental conditions.  Fishing pressure on wild stocks has decreased due to intensive farming but other problems have increased. Farmed salmons escape in large numbers and move to any river and hybridize with wild stocks. This species may hybridize with trout (Salmo trutta). Diseases of the species include furunculosis (Aeromonas salmonicida), corynebacterial kidney disease (Renibacterium salmoninarum), enteric red mouth disease (Yersinia ruckeri), infectious pancreatic necrosis virus, bacterial kidney disease, fin rot and fungus infections. Marketed fresh, dried or salted, smoked, and frozen; eaten steamed, fried, broiled, cooked in microwave, and baked.","At the onset of sexual maturity this species is known to return from the ocean to the river where it was born, and even to its specific natal site (Refs.  7471 ,  51442 ). Lacustrine populations move to tributaries. Spawning migration into freshwater lasts from June to November. Spawns at 6-10C in gravel river areas far upstream with moderate to fast-flowing, well-oxygenated waters and a succession of riffles and pools (Refs.  6390 ,  59043 ). The female selects a site where the gravel is of the right size and of sufficient depth (0.1 to 0.3 m) (Refs.  7471 ,  51442 ) and water depth is around 0.5-3 m. The female digs a depression (""redd"") by turning on her side and flexing her body up and down, without touching the stones. This species spawns in pairs. The male guards and defends the female against other males. A female releases between 8,000-25,000 eggs during a spawning season ; 500 to 2000 per kg. Fertilized eggs sink into the redd and are covered with a layer of gravel (0.1-0.3 m) usually by the male (Refs.  7471 ,  59043 ). Females are also observed to cover the eggs. Individual spawning is completed in 2-3 days after a female digging several redds and spawning with several males. Period of spawning lasts for 1-2 weeks. Most males die after spawning, while 10-40% of females may survive and return to the sea in autumn or overwinter in rivers, feed one summer, and migrate again. They may spawn in the year following the first reproduction or may remain at sea for 18 months before returning once more to the river. Of the returning females, about 0.3-6 % spawn a second time and very few spawn a third or fourth time. In short rivers with presumably less exhaustive upstream migration, up to 34% of returning individuals spawn a second time; some individuals may spawn for up to six seasons. Eggs hatch in spring, usually after 70-160 days. Upon hatching, alevins (i.e. newly-hatched young up to 1 month) are negatively phototactic and move deeper into the gravel (Refs. 58137,  59043 ). As their yolk sac is absorbed, the fry emerge from the bottom and move to shallow riffles just downstream of their redd. Mortality of young individuals during the first months may range from 14-61 %. Parr (i.e. juveniles) may remain in freshwater environments for 1-7 years (depending on temperature and feeding conditions) but most stay for 2-3 years. Parr undergo morphological and physiological changes called smoltification which prepares them for life in the sea. At the southern end of their range, many reach a length of 12-15 cm, transform into smolts and are ready for migration in spring of the first year after hatching (Refs.  7471 ,  51442 ). At the northern end of the range they may take 5-6 years to reach smolt stage. Smolts move towards estuaries, the continental shelf and eventually the open ocean. The Atlantic salmon matures between 3-7 years. After 1-4 years at sea, it migrates back to the upper reaches of its natal river to spawn (Refs.  59043 ,  89461 ). It has an acute sense of smell and it is suggested that it imprints a sequence of odours while inhabiting rivers and during its smolt run. It presumably reverses this sequence to return to its natal site. Several studies have shown that smolt runs are strongly correlated to increasing water temperature and water flow during spring.There is little evidence of natural spawning by land-locked populations of Atlantic salmon in Australia, and populations are maintained by stocking .",Lower Risk: least concern (LR/lc) ; Date assessed:  01 August 1996,3--4,9--15,3--4,7--11,58--61," Distinguished from congeners by having the following unique characters: 10-13 scales between end of adipose base and lateral line; 17-24 gill rakers; caudal fin deeply forked in individuals smaller than 20 cm SL; hyaline or grey adipose margin; posterior part of vomer toothless Mouth extends only to area below rear of eye and has well developed teeth Vomerine teeth weak Caudal fin with 19 rays Little scales Juveniles have 8-12 blue-violet spots on the flanks with little red spots in-between Adults at sea are bluish-green dorsally becoming silvery along the sides and white ventrally; with a few black spots but none under lateral line (Ref  37032 , Ref  51442 ) Caudal fin usually unspotted and adipose fin not black bordered During reproduction individuals lose the silvery shine and become dull brown or yellowish Males may be mottled with red or have large black patches (Refs  37032 ,  51442 , 88171) Skin becomes thick and leathery Survivors lose their spawning coloration and are generally dark in colour During the spawning season, males are characterized by elongated hooked jaws that meet at the tips, thicker fins, and slime covering their body Hook of males dwindle after spawning.",Harmless,1.5,9.3,15.3,1857,0.5,0.01047,3.02,"Medium, minimum population doubling time 1.4 - 4.4 years (K=0.1-0.2; tmax=6; Fecundity=1,600).",0.39,High vulnerability (62 of 100) .,Very high,de
1175,Salmo trutta,Sea trout,Actinopterygii (ray-finned fishes) >  Salmoniformes  (Salmons) >  Salmonidae  (Salmonids) > Salmoninae,"Salmo: Latin, salmo, Plinius = salmon ;trutta: trutta is a Latin name for trout .","Marine, freshwater, brackish, pelagic-neritic, anadromous ",0--28,1--2,Subtropical,"71N--  34N, 25W--  57E","Europe and Asia:  Atlantic, North, White and Baltic Sea basins, from Spain to Chosha Bay (Russia). Found in Iceland and northernmost rivers of Great Britain and Scandinavia. In Rhne drainage, native only to Lake Geneva basin, which it entered after last glaciation. Native to upper Danube and Volga drainages.  Introduced widely.  Several countries report adverse ecological impact after introduction.",1-- 600,140,72,50,38,"Found in streams, ponds, rivers and lakes.  Individuals spend 1 to 5 years in fresh water and 6 months to 5 years in salt water.  Juveniles mature in 3-4 years.  Lacustrine populations undertake migration to tributaries and lake outlets to spawn, rarely spawning on stone, wave-washed lake shores.  Spawns in rivers and streams with swift current, usually characterized by downward movement of water intro gravel.  Spawning takes place normally more than one time.  They prefer cold, well-oxygenated upland waters although their tolerance limits are lower than those of rainbow trout and favors large streams in the mountainous areas with adequate cover in the form of submerged rocks, undercut banks, and overhanging vegetation.  Life history and spawning behavior is similar to the salmon  Salmo salar .  Each female produces about 10.000 eggs (Ref.  35388 , Ref.  51442 ).  Mainly diurnal.  Sea and lake trouts forage in pelagic and littoral habitats, while sea trouts mainly close to coast, not very far from estuary of natal river.  Juveniles feed mainly on aquatic and terrestrial insects; adults on mollusks, crustaceans and small fish (Ref.  26523 , Ref.  51442 ).  Marketed fresh and smoked; eaten fried, broiled, boiled, cooked in microwave, and baked.","Female covers the eggs by restirring the sand and fine gravel. After hatching at 12 mm, larval brown trout remain in the gravel for 2-3 weeks until they are about 25 mm long, when they emerge to begin feeding in the water column. Brown trout are territorial and begin establishing territories as juveniles. Juvenile trout from lake populations move from their natal inlets to lakes during the first 2 years of life.",Least Concern (LC) ; Date assessed:  05 March 2010,3--4,10--15,3--4,9--14,57--59," Fusiform body  Head little and pointed  Mouth large, extending mostly after the eye and has well developed teeth  Teeth on shaft of vomer numerous and strongly developed  Caudal fin with 18-19 rays  Caudal peduncle thick and rounded  Little scales  Body is grey-blue colored with numerous spots, also below the lateral line  Blackish colored on upper part of body, usually orange on sides, surrounded by pale halos  Adipose fin with red margin.",Potential pest,6.5,10.1,15.8,918,0.5,0.00871,3.02,"Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.9; K=0.09-0.8; tmax=8; Fec=1,000).",0.46,High vulnerability (60 of 100) .,Very high,de
1176,Salpa fusiformis,,Thaliacea > Salpida > Salpidae,,Pelagic,0--210,,Subtropical 7C - 26C,,Circumglobal.,?--?,5.2,,,,"Maximum depth from Ref. 116065. Marine, planktonic; able to withstand low temperatures .  Exhibits vertical migration . Members of the order Salpida includes clonal and sexual phases in its life cycle.  Life cycle:  The oozooid holds in its stolon the buds and blastozooids, each containing an egg.  The blastozooid becomes a brood sac for the fertilized egg which later breaks free as a young zooid .","Members of the order Salpida includes clonal and sexual phases in its life cycle.  Life cycle:  The oozooid holds in its stolon the buds and blastozooids, each containing an egg.  The blastozooid becomes a brood sac for the fertilized egg which later breaks free as a young zooid.",Not Evaluated,,,,,,,,6.1,13.2,25.1,1788,,,,,,Low vulnerability (10 of 100),Unknown,ca
